Op.,WoO,Hess,Biam-onti,Title,Key,Date,Scoring,Genre,Notes,
1/1,—,—,62/1,,,,,,,
Piano Trio,,,,,,,,,,
E♭ major,1792-93,vn vc pf,Chamber,,,,,,,
1/2,—,—,62/2,,,,,,,
Piano Trio,,,,,,,,,,
G major,1792-94,vn vc pf,Chamber,,,,,,,
1/3,—,—,62/3,,,,,,,
Piano Trio,,,,,,,,,,
C minor,1792-94,vn vc pf,Chamber,arr. for 2vn va vc as Op.104,,,,,,
2,—,—,87,Piano Sonatas (3):,,1793-95,pf,Keyboard,,
2/1,—,—,87/1,,,,,,,
Piano Sonata No.1,,,,,,,,,,
F minor,1793-95,pf,Keyboard,,,,,,,
2/2,—,—,87/2,,,,,,,
Piano Sonata No.2,,,,,,,,,,
A major,1794-95,pf,Keyboard,,,,,,,
2/3,—,—,87/3,,,,,,,
Piano Sonata No.3,,,,,,,,,,
C major,1794-95,pf,Keyboard,,,,,,,
3,—,—,105,String Trio,E♭ major,1794,vn va vc,Chamber,see also Op.64,
4,—,—,115,String Quintet,E♭ major,1795,2vn 2va vc,Chamber,based on Op.103, see also Op.63
5,—,—,106,Cello Sonatas (2),,1796,vc pf,Chamber,,
5/1,—,—,106/1,,,,,,,
Cello Sonata No.1,,,,,,,,,,
F major,1796,vc pf,Chamber,,,,,,,
5/2,—,—,106/2,,,,,,,
Cello Sonata No.2,,,,,,,,,,
G minor,1796,vc pf,Chamber,,,,,,,
6,—,—,134,Sonata for Piano Four Hands in D major,D major,1796-97,pf4h,Keyboard,,
7,—,—,136,Piano Sonata No.4 ('Grand Sonata'),E♭ major,1796-97,pf,Keyboard,,
8,—,—,135,Serenade,D major,1796-97,vn va vc,Chamber,,
9,—,—,153,String Trios (3):,,1797-98,vn va vc,Chamber,,
9/1,—,—,153/1,,,,,,,
String Trio,,,,,,,,,,
G major,1797-98,vn va vc,Chamber,,,,,,,
9/2,—,—,153/2,,,,,,,
String Trio,,,,,,,,,,
D major,1797-98,vn va vc,Chamber,,,,,,,
9/3,—,—,153/3,,,,,,,
String Trio,,,,,,,,,,
C minor,1797-98,vn va vc,Chamber,,,,,,,
10,—,—,157,Piano Sonatas (3):,,1795-98,pf,Keyboard,,
10/1,—,—,157/1,,,,,,,
Piano Sonata No.5,,,,,,,,,,
C minor,1795-97,pf,Keyboard,,,,,,,
10/2,—,—,157/2,,,,,,,
Piano Sonata No.6,,,,,,,,,,
F major,1796-97,pf,Keyboard,,,,,,,
10/3,—,—,157/3,,,,,,,
Piano Sonata No.7,,,,,,,,,,
D major,1797-98,pf,Keyboard,,,,,,,
11,—,—,156,Trio in B-flat major ('Gassenhauer'),B♭ major,1797-98,cl/vn vc pf,Chamber,,
12,—,—,165,Violin Sonatas (3):,,1797-98,vn pf,Chamber,,
12/1,—,—,165/1,,,,,,,
Violin Sonata No.1,,,,,,,,,,
D major,1797-98,vn pf,Chamber,,,,,,,
12/2,—,—,165/2,,,,,,,
Violin Sonata No.2,,,,,,,,,,
A major,1797-98,vn pf,Chamber,,,,,,,
12/3,—,—,165/3,,,,,,,
Violin Sonata No.3,,,,,,,,,,
E♭ major,1797-98,vn pf,Chamber,,,,,,,
13,—,—,184,Piano Sonata No.8 ('Pathétique'),C minor,1797-98,pf,Keyboard,,
14,—,—,—,Piano Sonatas (2):,,1798-99,pf,Keyboard,,
14/1,—,—,285,,,,,,,
Piano Sonata No.9,,,,,,,,,,
E major,1798-99,pf,Keyboard,,,,,,,
14/2,—,—,284,,,,,,,
Piano Sonata No.10,,,,,,,,,,
G major,1799,pf,Keyboard,,,,,,,
15,—,—,167,Piano Concerto No.1,C major,1795-1800,pf orch,Orchestral,,
16,—,—,130,Quintet in E-flat major,E♭ major,1796-97,ob cl bn hn pf,Chamber,arr for vn va vc pf as Op.16a,
16a,—,—,131,Quintet in E-flat major,E♭ major,1796-97,vn va vc pf,Chamber,arr of Op.16,
17,—,—,206,Horn Sonata,F major,1800,hn pf,Chamber,,
18,—,—,225/1,String Quartets (6):,,1798-1800,2vn va vc,Chamber,,
18/1,—,—,225/1,,,,,,,
String Quartet No.1,,,,,,,,,,
F major,1798-1800,2vn va vc,Chamber,,,,,,,
18/2,—,—,225/2,,,,,,,
String Quartet No.2,,,,,,,,,,
G major,1798-1800,2vn va vc,Chamber,,,,,,,
18/3,—,—,225/3,,,,,,,
String Quartet No.3,,,,,,,,,,
D major,1798-1800,2vn va vc,Chamber,,,,,,,
18/4,—,—,225/4,,,,,,,
String Quartet No.4,,,,,,,,,,
C minor,1798-1800,2vn va vc,Chamber,,,,,,,
18/5,—,—,225/5,,,,,,,
String Quartet No.5,,,,,,,,,,
A major,1798-1800,2vn va vc,Chamber,,,,,,,
18/6,—,—,225/6,,,,,,,
String Quartet No.6,,,,,,,,,,
B♭ major,1798-1800,2vn va vc,Chamber,,,,,,,
19,—,—,166,Piano Concerto No.2,B♭ major,1788-1801,pf orch,Orchestral,,
20,—,—,204,Septet,E♭ major,1799,cl bn hn vn va vc db,Chamber,,
21,—,—,203,Symphony No.1,C major,1799-1800,orch,Orchestral,,
22,—,—,208,Piano Sonata No.11,B♭ major,1800,pf,Keyboard,,
23,—,—,293,Violin Sonata No.4,A minor,1800-01,vn pf,Chamber,,
24,—,—,294,Violin Sonata No.5,F major,1800-01,vn pf,Chamber,,
25,—,—,114,Serenade,D major,1801,"For flute, violin, viola",Chamber,arr. for fl pf as Op.41,
26,—,—,296,Piano Sonata No.12 ('Funeral March'),A♭ major,1800-01,pf,Keyboard,movt. III arr. for orch as WoO 96/4,
27,—,—,297/1,Piano Sonatas (2):,,1800-01,pf,Keyboard,,
27/1,—,—,297/1,,,,,,,
Piano Sonata No.13 ('Quasi una fantasia'),,,,,,,,,,
E♭ major,1800-01,pf,Keyboard,,,,,,,
27/2,—,—,297/2,,,,,,,
Piano Sonata No.14 ('Moonlight'),,,,,,,,,,
C♯ minor,1801,pf,Keyboard,,,,,,,
28,—,—,302,Piano Sonata No.15 ('Pastoral'),D major,1801,pf,Keyboard,,
29,—,—,298,String Quintet in C major ('Storm'),C major,1801,2vn 2va vc,Chamber,,
30,—,—,340,Violin Sonatas (3):,,1801-02,vn pf,Chamber,,
30/1,—,—,340/1,,,,,,,
Violin Sonata No.6,,,,,,,,,,
A major,1801-02,vn pf,Chamber,,,,,,,
30/2,—,—,340/2,,,,,,,
Violin Sonata No.7 ('Eroica'),,,,,,,,,,
C minor,1801-02,vn pf,Chamber,,,,,,,
30/3,—,—,340/3,,,,,,,
Violin Sonata No.8,,,,,,,,,,
G major,1801-02,vn pf,Chamber,,,,,,,
31,—,—,339,Piano Sonatas (3):,,1802,pf,Keyboard,,
31/1,—,—,339/1,,,,,,,
Piano Sonata No.16,,,,,,,,,,
G major,1802,pf,Keyboard,,,,,,,
31/2,—,—,339/3,,,,,,,
Piano Sonata No.17 ('Tempest'),,,,,,,,,,
D minor,1802,pf,Keyboard,,,,,,,
31/3,—,—,339/2,,,,,,,
Piano Sonata No.18 ('Hunt'),,,,,,,,,,
E♭ major,1802,pf,Keyboard,,,,,,,
32,—,—,421,"An die Hoffnung (""Die du so gern in heilgen Nächten feierst"")",,1804-05,v pf,Vocal,1st setting, see also Op.94
33,—,—,334,Bagatelles (7),,1801-02,pf,Keyboard,,
34,—,—,327,Variations (6),F major,1802,pf,Keyboard,,
35,—,—,328,Variations and Fugue ('Eroica Variations'),E♭ major,1802,pf,Keyboard,,
36,—,—,326,Symphony No.2,D major,1801-02,orch,Orchestral,also arr. for vn vc pf,
36,—,—,425,Symphony No.2,D major,1805,vn vc pf,Chamber,arr. of version for orch,
37,—,—,337,Piano Concerto No.3,C minor,1800-03,pf orch,Orchestral,,
38,—,—,376,Trio,E♭ major,1802-03,cl/vn vc pf,Chamber,arr. of Op. 20,
39,—,—,375,Preludes (2) ('par tous les 12 tons majeurs'),C major,1789,pf/org,Keyboard,,
40,—,—,329,Romance,G major,1800-02,vn orch,Orchestral,,
41,—,Anh.12,371,Serenade,D major,1803,fl pf,Chamber,spurious, arr. of Op.25 by Franz Xaver Kleinheinz
42,—,Anh.13,372,Notturno,D major,1803-04,va pf,Chamber,spurious, arr. of Op.8 by Franz Xaver Kleinheinz
43,—,—,288,Die Geschöpfe des Prometheus (The Creatures of Prometheus),,1800-01,orch,Stage,,
44,—,—,263,Variations (14),E♭ major,1792,vn va pf,Chamber,,
45,—,—,377,Marches (3),,1803,pf4h,Keyboard,,
46,—,—,111,"Adelaide (""Einsam wandelt dein Freund"")",B♭ major,1794-95,v pf,Vocal,,
47,—,—,366,"Violin Sonata No.9 (""Kreutzer"")",A major,1802-03,vn pf,Chamber,,
48,—,—,367,Lieder (6),,1801-02,v pf,Vocal,,
48/1,—,—,367/1,,,,,,,
"Bitten (""Gott, deine Güte reicht so weit"")",,,,,,,,,,
E major,1801-02,v pf,Vocal,,,,,,,
48/2,—,—,367/2,,,,,,,
"Die Liebe des Nächsten (""So jemand spricht: Ich liebe Gott!"")",,,,,,,,,,
E♭ major,1801-02,v pf,Vocal,,,,,,,
48/3,—,—,367/3,,,,,,,
"Vom Tode (""Meine Lebenszeit verstreicht"")",,,,,,,,,,
F♯ minor,1801-02,v pf,Vocal,,,,,,,
48/4,—,—,367/4,,,,,,,
"Die Ehre Gottes aus der Natur (""Die Himmel rühmen des Ewigen Ehre"")",,,,,,,,,,
C major,1801-02,v pf,Vocal,,,,,,,
48/5,—,—,367/5,,,,,,,
"Gottes Macht und Vorsehung (""Gott ist mein Leid!"")",,,,,,,,,,
C major,1801-02,v pf,Vocal,,,,,,,
48/6,—,—,367/6,,,,,,,
"Bußlied (""An dir allein, an dir hab ich gendigt"")",,,,,,,,,,
A minor,1801-02,v pf,Vocal,,,,,,,
49,—,—,—,Piano Sonatas (2):,,1797,pf,Keyboard,,
49/1,—,—,170,,,,,,,
Piano Sonata No.19,,,,,,,,,,
G minor,1797,pf,Keyboard,,,,,,,
49/2,—,—,120,,,,,,,
Piano Sonata No.20,,,,,,,,,,
G major,1795-96,pf,Keyboard,,,,,,,
50,—,—,330,Romance,F major,1798,vn orch,Orchestral,,
51,—,—,—,Rondos (2),,1796-97,pf,Keyboard,,
52,—,—,34,Lieder (8):,,1785-93,v pf,Vocal,,
52/1,—,—,34/1,,,,,,,
"Urians Reise um die Welt (""Wenn jemand eine Reise tut"")",,,,,,,,,,
A minor,1785-93,v pf,Vocal,Words by Matthias Claudius,,,,,,
52/2,—,—,34/2,,,,,,,
"Feuerfarb (""Ich weiß eine Farbe"")",,,,,,,,,,
G major,1785-93,v pf,Vocal,Words by Sophie Mereau,,,,,,
52/3,—,—,34/3,,,,,,,
"Das Liedchen von der Ruhe (""Im Arm der Liebe ruht sich's wohl"")",,,,,,,,,,
F major,1785-93,v pf,Vocal,Words by Hermann Wilhelm Franz Ueltzen,,,,,,
52/4,—,—,34/4,,,,,,,
"Maigesang (Mailied) (""Wie herrlich leuchtet mir dir Natur"")",,,,,,,,,,
E♭ major,1785-93,v pf,Vocal,Words by Johann Wolfgang von Goethe,,,,,,
52/5,—,—,34/5,,,,,,,
"Mollys Abschied (""Lebe wohl, du Mann"")",,,,,,,,,,
G major,1785-93,v pf,Vocal,Words by Gottfried August Bürger,,,,,,
52/6,—,—,34/6,,,,,,,
"Die Liebe (""Ohne Liebe lebe wer da kann"")",,,,,,,,,,
F major,1785-93,v pf,Vocal,Words by Gotthold Ephraim Lessing,,,,,,
52/7,—,—,34/7,,,,,,,
"Marmotte (""Ich komme schon durch manches Land"")",,,,,,,,,,
A major,1785-93,v pf,Vocal,Words by Johann Wolfgang von Goethe,,,,,,
52/8,—,—,34/8,,,,,,,
"Das Blümchen Wunderhold (""Es blüht ein Blümchen irgendwo"")",,,,,,,,,,
G major,1785-93,v pf,Vocal,Words by Gottfried August Bürger,,,,,,
53,—,—,411,"Piano Sonata No.21 (""Waldstein"")",C major,1803-04,pf,Keyboard,,
54,—,—,412,Piano Sonata No.22,F major,1804,pf,Keyboard,,
55,—,—,406,Symphony No.3 ('Eroica'),E♭ major,1803,orch,Orchestral,,
56,—,—,410,Triple Concerto,C major,1804-05,vn vc pf orch,Orchestral,,
57,—,—,420,Piano Sonata No.23 ('Apassionata'),F minor,1804-05,pf,Keyboard,,
58,—,—,431,Piano Concerto No.4,G major,"1804-07, rev.1809",pf orch,Orchestral,arr. for 2vn va vc db pf as Op.58a,
58a,—,—,431,Piano Concerto No.4,G major,1804-07,2vn va vc db pf,Chamber,arr. of Op.58,
59,—,—,436,String Quartets (3) ('Razumovsky Quartets'):,,1806,2vn va vc,Chamber,,
59/1,—,—,436/1,,,,,,,
String Quartet No.7,,,,,,,,,,
F major,1806,2vn va vc,Chamber,,,,,,,
59/2,—,—,436/2,,,,,,,
String Quartet No.8,,,,,,,,,,
E minor,1806,2vn va vc,Chamber,,,,,,,
59/3,—,—,436/3,,,,,,,
String Quartet No.9,,,,,,,,,,
C major,1806,2vn va vc,Chamber,,,,,,,
60,—,—,429,Symphony No.4,B♭ major,1806,orch,Orchestral,,
61,—,—,432,Violin Concerto,D major,1806,vn orch,Orchestral,arr for pf orch as Op.61a,
61a,—,—,441,Piano Concerto,D major,1807,pf orch,Orchestral,arr. of Op.61,
62,—,—,438,Coriolan,C minor,1807,orch,Orchestral,,
63,—,Anh.14,II/65,Piano Trio,E♭ major,—,vn va vc,Chamber,arr. of Op.4, Beethoven's authorship doubtful
64,—,Anh.15,II/60,Cello Sonata ('Grand Sonata'),E♭ major,1807,vc pf,Chamber,spurious, arr.of Op.3 by unknown author
65,—,—,116,Ah! Perfido,,1796,sop orch,Vocal,,
66,—,—,160,Variations on 'Ein Mädchen oder Weibchen' (12),F major,1796,vc pf,Chamber,"based on an aria from Die Zauberflöte, K.620, by Wolfgang Amadeus Mozart",
67,—,—,443,Symphony No.5,C minor,1804-08,orch,Orchestral,,
68,—,—,453,Symphony No.6,F major,1807-08,orch,Orchestral,,
69,—,—,444,Cello Sonata No.3,A major,1807-08,vc pf,Chamber,,
70,—,—,455,Piano Trios (2):,,1808,vn vc pf,Chamber,,
70/1,—,—,455/1,,,,,,,
Piano Trio ('Ghost'),,,,,,,,,,
D major,1808,vn vc pf,Chamber,,,,,,,
70/2,—,—,455/2,,,,,,,
Piano Trio,,,,,,,,,,
E♭ major,1808,vn vc pf,Chamber,,,,,,,
71,—,—,118,Sextet,E♭ major,1792-96,2cl 2bn 2hn,Chamber,,
72,—,109,423,"Fidelio (Leonore, oder Der Triumph der ehelichen Liebe), opera in 3 acts",,1804-05,vv ch orch,Stage,1st version, includes Op. 72a
72,—,110,427,"Fidelio (Leonore, oder Der Triumph der ehelichen Liebe), opera in 2 acts",,1805-06,vv ch orch,Stage,2nd version, includes Op. 72b (and WoO 2/2?)
72,—,—,570,"Fidelio, opera in 2 acts",,1814,vv ch orch,Stage,3rd version,
72a,—,—,423,Leonora Overture No.2,C major,1804-05,orch,Orchestral,"1st version of Opp. 72b,, 138 (included in 1st version of Op. 72)",
72b,—,—,427,Leonora Overture No.3,C major,1806,orch,Orchestral,"2nd version of Opp. 72a, 138 (included in 2nd version of Op. 72)",
73,—,—,499,Piano Concerto No.5 ('Emperor'),E♭ major,1808-09,pf orch,Orchestral,,
74,—,—,485,String Quartet No.10 ('Harp'),E♭ major,1809,2vn va vc,Chamber,,
75,—,—,502,Gesänge (6):,,1809,v pf,Vocal,,
75/1,—,—,502/1,,,,,,,
"Mignon (""Kennst du das Land"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/2,—,—,502/2,,,,,,,
"Neue Liebe, neues Leben (""Herz, mein Herz, was soll das geben?"")",,,,,,,,,,
1809,v pf,Vocal,2nd setting of WoO 27,,,,,,,
75/3,—,—,502/3,,,,,,,
"Aus Goethes Faust (""Es war einmal ein König"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/4,—,—,502/4,,,,,,,
"Gretels Warnung (""Mit Liebesblick und Spiel"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/5,—,—,502/5,,,,,,,
"An den fernen Geliebten (""Einst wohnten süsse Ruh'"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
75/6,—,—,502/6,,,,,,,
"Der Zufriedene (""Zwar schuf das Glück hienieden"")",,,,,,,,,,
1809,v pf,Vocal,,,,,,,,
76,—,—,494,Variations (6),D major,1809,pf,Keyboard,,
77,—,—,492,Fantasia,G minor,1809,pf,Keyboard,,
78,—,—,493,Piano Sonata No.24 ('A Thérèse'),F♯ major,1809,pf,Keyboard,,
79,—,—,495,Piano Sonata No.25 ('Cuckoo'),G major,1809,pf,Keyboard,,
80,—,—,486,Fantasia in C minor ('Choral Fantasia'),C minor,1808-09,ch pf orch,Vocal,,
81a,—,—,514,Piano Sonata No.26 ('Les adieux'),E♭ major,1809-10,pf,Keyboard,,
81b,—,—,72,Sextet in E-flat major,E♭ major,1795,2hn 2vn va vc,Chamber,,
82,—,—,513,Arietten und ein Duett (4):,,1809-10,v/2vv pf,Vocal,,
82/1,—,—,513/1,,,,,,,
"Hoffnung (""Dimmi, ben mio, che m'ami"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/2,—,—,513/2,,,,,,,
"Liebes-Klage (""T'intendo, si, mio cor"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/3,—,—,513/3,,,,,,,
"Che fa il mio bene? (""L'amante impatiente"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/4,—,—,513/4,,,,,,,
"Che fa il mio bene? (""L'amante impatiente"")",,,,,,,,,,
1809-10,v pf,Vocal,,,,,,,,
82/5,—,—,513/5,,,,,,,
"Lebensgenuß (""Odi l'aura che dolce sospira"")",,,,,,,,,,
1809-10,2vvv pf,Vocal,,,,,,,,
83,—,—,531,Gesänge (3),,1810,v pf,Vocal,,
83/1,—,—,531,,,,,,,
"Wonne der Wehmut (""Trocknet nicht, Tränen der ewigen Liebe!"")",,,,,,,,,,
1810,v pf,Vocal,,,,,,,,
83/2,—,—,531,,,,,,,
"Sensucht (""Was zieht mir das Herz so?"")",,,,,,,,,,
1810,v pf,Vocal,,,,,,,,
83/3,—,—,531,,,,,,,
"Mit einem gemalten Band (""Kleine Blumen, kleine Blätter streuen wir mit leichter Hand"")",,,,,,,,,,
1810,v pf,Vocal,,,,,,,,
84,—,—,518,Egmont,,1809-10,vv orch,Stage,,
85,—,—,363,Christus am Ölberge ('Christ on the Mount of Olives'),,1803-04,3vv ch orch,Vocal,,
86,—,—,439,Mass,C major,1807,4vvch orch,Vocal,,
87,—,—,63,Trio,C major,1794-95,2ob eh,Chamber,,
88,—,—,370,"Das Glück der Freundschaft (""Der lebt ein Leben wonniglich"")",,1803,v pf,Vocal,,
89,—,—,588,Polonaise in C major,C major,1814,pf,Keyboard,,
90,—,—,578,Piano Sonata No.27,E minor,1814,pf,Keyboard,,
91,—,—,560,Wellingtons Sieg (Wellington's Victory or 'Battle Symphony'),,1813,orch,Orchestral,,
92,—,—,544,Symphony No.7,A major,1811-12,orch,Orchestral,,
93,—,—,659,Symphony No.8,F major,1812,orch,Orchestral,,
94,—,—,611,"An die Hoffnung (""Ob ein Gott sei?"")",B♭ minor,1813-15,v pf,Vocal,2nd setting, see Op.32
95,—,—,524,"String Quartet No.11 (""Serioso"")",F minor,1810-11,2vn va vc,Chamber,,
96,—,—,550,"Violin Sonata No.10 (""Cock-crow"")",G major,1812,vn pf,Chamber,,
97,—,—,536,"Piano Trio(""Archduke"")",B♭ major,1810-15,vn va vc,Chamber,,
98,—,—,652,An die ferne Geliebte:,,1816,v pf,Vocal,,
98/1,—,—,652,,,,,,,
"Auf dem Hügel sitz' ich, spähend",,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/2,—,—,652,,,,,,,
Wo die Bergen so blau,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/3,—,—,652,,,,,,,
Leichte Segler in den Höhen,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/4,—,—,652,,,,,,,
Diese Wolken in den Höhen,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/5,—,—,652,,,,,,,
Es kehret der Maien,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/6,—,—,652,,,,,,,
"Nimm sie hin denn, diese Lieder",,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
99,—,—,655,"Der Mann von Wort (""Du sagtest, Freund"")",G major,1816,v pf,Vocal,,
100,—,—,596,Merkenstein,F major,1815,2vvv pf,Vocal,2nd setting of WoO 144,
101,—,—,656,Piano Sonata No.28,A major,1816,pf,Keyboard,,
102,—,—,599,Cello Sonatas (2):,,1815,vc pf,Chamber,,
102/1,—,—,599/1,,,,,,,
Cello Sonata No.4,,,,,,,,,,
C major,1815,vc pf,Chamber,,,,,,,
102/2,—,—,599/2,,,,,,,
Cello Sonata No.5,,,,,,,,,,
D major,1815,vc pf,Chamber,,,,,,,
103,—,—,41,Wind Octet,E♭ major,1792-93,2ob 2cl 2bn 2hn,Chamber,revised for string quintet as Op.4,
104,—,—,675,String Quintet,C minor,1817,2vn 2va vc,Quintets,arrangement of Op.1/3,
105,—,—,693,National Airs with Variations (6),,1818-19,fl/vn pf,Chamber,,
105/1,—,—,693/1,,,,,,,
"Air écossais (""The Cottage Maid"")",,,,,,,,,,
G major,1818,fl/vn pf,Chamber,,,,,,,
105/2,—,—,693/2,,,,,,,
Air écossais,,,,,,,,,,
C minor,1819,fl/vn pf,Chamber,,,,,,,
105/3,—,—,693/3,,,,,,,
"Air autrichien (""A Schsserl und a Reindel"")",,,,,,,,,,
C major,1818,fl/vn pf,Chamber,,,,,,,
105/4,—,—,693/4,,,,,,,
"Air écossais (""The Last Rose of Summer"")",,,,,,,,,,
E♭ major,1818,fl/vn pf,Chamber,,,,,,,
105/5,—,—,693/5,,,,,,,
"Air écossais (""Chiling O'Guiry"")",,,,,,,,,,
E♭ major,1818,fl/vn pf,Chamber,,,,,,,
105/6,—,—,693/6,,,,,,,
"Air écossais (""Paddy Whack"")",,,,,,,,,,
D major,1818,fl/vn pf,Chamber,,,,,,,
106,—,—,708,"Piano Sonata No.29 (""Hammerklavier"")",B♭ major,1816-18,pf,Keyboard,,
107,—,—,694,National Airs with Variations (10):,,1818-19,fl/vn pf,Chamber,,
